slice_id	is_tissue	cluster	row	column	feature-0	feature-1
slice_0	1	0	0.0	0.0	0.9552123476287495	0.044787652371250534
slice_0	1	0	2.0	0.0	0.5518280140746893	0.44817198592531066
slice_0	1	0	4.0	0.0	0.7814748046660057	0.21852519533399423
slice_0	1	0	6.0	0.0	0.9075103467581246	0.09248965324187546
slice_0	1	0	8.0	0.0	0.5243181624679519	0.4756818375320482
slice_0	1	0	1.0000000000000002	1.7320508075688772	0.6022185967439536	0.39778140325604644
slice_0	1	0	3.0	1.7320508075688772	0.5049477802376201	0.4950522197623799
slice_0	1	0	5.0	1.7320508075688772	0.5889709726644362	0.41102902733556373
slice_0	1	0	7.0	1.7320508075688772	0.8046065282966278	0.19539347170337218
slice_0	1	0	9.0	1.7320508075688772	0.5713935943113072	0.42860640568869274
slice_0	1	0	2.0000000000000004	3.4641016151377544	0.5122299117090378	0.4877700882909623
slice_0	1	0	4.0	3.4641016151377544	0.500543977564806	0.49945602243519405
slice_0	1	0	8.0	3.4641016151377544	0.7253969711090834	0.2746030288909166
slice_0	1	0	10.0	3.4641016151377544	0.9859211342135337	0.014078865786466343
slice_0	1	0	3.000000000000001	5.196152422706632	0.808388650264697	0.191611349735303
slice_0	1	0	5.000000000000001	5.196152422706632	0.9169872811939204	0.08301271880607948
slice_0	1	0	7.000000000000001	5.196152422706632	0.5858075321093065	0.4141924678906934
slice_0	1	0	9.0	5.196152422706632	0.973154706221224	0.026845293778775977
slice_0	1	0	11.0	5.196152422706632	0.7004363294714433	0.2995636705285566
slice_0	1	0	4.000000000000001	6.928203230275509	0.6267564004892362	0.3732435995107639
slice_0	1	0	6.000000000000001	6.928203230275509	0.765880811670083	0.2341191883299171
slice_0	1	0	8.0	6.928203230275509	0.683155284776649	0.31684471522335106
slice_0	1	0	10.0	6.928203230275509	0.6683418417474483	0.33165815825255174
slice_0	1	0	12.0	6.928203230275509	0.6898393210486959	0.31016067895130417
slice_0	1	0	10.0	0.0	0.3317228807177564	0.6682771192822436
slice_0	1	0	12.0	0.0	0.3222976786412981	0.6777023213587019
slice_0	1	0	14.0	0.0	0.46964200087286734	0.5303579991271326
slice_0	1	0	16.0	0.0	0.4814763757508878	0.5185236242491121
slice_0	1	0	18.0	0.0	0.32138653737828066	0.6786134626217193
slice_0	1	0	11.0	1.7320508075688772	0.3185488021975546	0.6814511978024455
slice_0	1	0	13.0	1.7320508075688772	0.3944623334835952	0.6055376665164047
slice_0	1	0	15.0	1.7320508075688772	0.3029236238059718	0.6970763761940281
slice_0	1	0	17.0	1.7320508075688772	0.42216403130704405	0.577835968692956
slice_0	1	0	19.0	1.7320508075688772	0.3721057253531179	0.6278942746468821
slice_0	1	0	12.0	3.4641016151377544	0.23152834711124476	0.7684716528887552
slice_0	1	0	14.0	3.4641016151377544	0.37618483310975465	0.6238151668902454
slice_0	1	0	18.0	3.4641016151377544	0.48702983818816126	0.5129701618118387
slice_0	1	0	20.0	3.4641016151377544	0.14091929591598942	0.8590807040840106
slice_0	1	0	13.0	5.196152422706632	0.2944799093868133	0.7055200906131868
slice_0	1	0	15.0	5.196152422706632	0.4630310682471041	0.536968931752896
slice_0	1	0	17.0	5.196152422706632	0.42510225388669987	0.5748977461133001
slice_0	1	0	19.0	5.196152422706632	0.28402189740069816	0.7159781025993017
slice_0	1	0	21.0	5.196152422706632	0.39914559223226087	0.6008544077677391
slice_0	1	0	14.0	6.928203230275509	0.26529390144395804	0.7347060985560419
slice_0	1	0	16.0	6.928203230275509	0.1442708657760529	0.8557291342239471
slice_0	1	0	18.0	6.928203230275509	0.3068478400416755	0.6931521599583246
slice_0	1	0	20.0	6.928203230275509	0.12846681920915093	0.8715331807908491
slice_0	1	0	22.0	6.928203230275509	0.3598439992239471	0.6401560007760528
slice_1	1	0	0.0	0.0	0.5599988787123464	0.44000112128765356
slice_1	1	0	2.0	0.0	0.7769577258471568	0.2230422741528432
slice_1	1	0	4.0	0.0	0.9004366267381527	0.09956337326184715
slice_1	1	0	6.0	0.0	0.530856061103545	0.469143938896455
slice_1	1	0	8.0	0.0	0.5688386381830193	0.4311613618169808
slice_1	1	0	1.0000000000000002	1.7320508075688772	0.5516270825628792	0.44837291743712077
slice_1	1	0	3.0	1.7320508075688772	0.7975620116388444	0.2024379883611555
slice_1	1	0	5.0	1.7320508075688772	0.6736070637026383	0.32639293629736166
slice_1	1	0	7.0	1.7320508075688772	0.8511709751115603	0.14882902488843985
slice_1	1	0	9.0	1.7320508075688772	0.971252514018494	0.028747485981506036
slice_1	1	0	2.0000000000000004	3.4641016151377544	0.6374794176311994	0.3625205823688006
slice_1	1	0	4.0	3.4641016151377544	0.8911086129900643	0.10889138700993575
slice_1	1	0	8.0	3.4641016151377544	0.8376866514070767	0.16231334859292326
slice_1	1	0	10.0	3.4641016151377544	0.7238509367255664	0.2761490632744335
slice_1	1	0	3.000000000000001	5.196152422706632	0.6752466258745398	0.3247533741254603
slice_1	1	0	5.000000000000001	5.196152422706632	0.8466367148920626	0.15336328510793734
slice_1	1	0	7.000000000000001	5.196152422706632	0.8271067456126946	0.1728932543873054
slice_1	1	0	9.0	5.196152422706632	0.7041466648386683	0.2958533351613319
slice_1	1	0	11.0	5.196152422706632	0.5756593552255364	0.4243406447744636
slice_1	1	0	4.000000000000001	6.928203230275509	0.6168940456650869	0.3831059543349131
slice_1	1	0	6.000000000000001	6.928203230275509	0.658965561636203	0.341034438363797
slice_1	1	0	8.0	6.928203230275509	0.6569774222303462	0.3430225777696539
slice_1	1	0	10.0	6.928203230275509	0.5623787588636997	0.4376212411363003
slice_1	1	0	12.0	6.928203230275509	0.6535081440829835	0.3464918559170163
slice_1	1	0	10.0	0.0	0.4526624229633319	0.5473375770366681
slice_1	1	0	12.0	0.0	0.48376859266357863	0.5162314073364214
slice_1	1	0	14.0	0.0	0.18149849141162422	0.8185015085883758
slice_1	1	0	16.0	0.0	0.19056002768795155	0.8094399723120485
slice_1	1	0	18.0	0.0	0.48740267390355235	0.5125973260964476
slice_1	1	0	11.0	1.7320508075688772	0.429296520861906	0.5707034791380939
slice_1	1	0	13.0	1.7320508075688772	0.16884855243173963	0.8311514475682604
slice_1	1	0	15.0	1.7320508075688772	0.33808741724195085	0.6619125827580493
slice_1	1	0	17.0	1.7320508075688772	0.230971588447631	0.7690284115523691
slice_1	1	0	19.0	1.7320508075688772	0.29482320109537224	0.7051767989046278
slice_1	1	0	12.0	3.4641016151377544	0.45445740779732674	0.5455425922026732
slice_1	1	0	14.0	3.4641016151377544	0.40057058113931343	0.5994294188606867
slice_1	1	0	18.0	3.4641016151377544	0.3585650071502689	0.6414349928497312
slice_1	1	0	20.0	3.4641016151377544	0.45237994164036277	0.5476200583596372
slice_1	1	0	13.0	5.196152422706632	0.4899664473966753	0.5100335526033248
slice_1	1	0	15.0	5.196152422706632	0.33016841376175216	0.6698315862382479
slice_1	1	0	17.0	5.196152422706632	0.2357802142702372	0.7642197857297628
slice_1	1	0	19.0	5.196152422706632	0.31834285602968	0.6816571439703201
slice_1	1	0	21.0	5.196152422706632	0.4313085080447651	0.5686914919552349
slice_1	1	0	14.0	6.928203230275509	0.1535532707659458	0.8464467292340542
slice_1	1	0	16.0	6.928203230275509	0.3841201884219793	0.6158798115780207
slice_1	1	0	18.0	6.928203230275509	0.4183652905028798	0.5816347094971202
slice_1	1	0	20.0	6.928203230275509	0.2419797664058915	0.7580202335941086
slice_1	1	0	22.0	6.928203230275509	0.20656642954602386	0.793433570453976
